srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR3735599	SRX1891210	SRS1534134	SRP010257	PRJNA80949	Thermacetogenium phaeum DSM 12270	DSM 12270	PACBIO_SMRT	PacBio RS	48167012	28000	WGS	GENOMIC	SINGLE	Thermacetogenium phaeum DSM 12270
SRR3735598	SRX1891209	SRS1534134	SRP010257	PRJNA80949	Thermacetogenium phaeum DSM 12270	DSM 12270	PACBIO_SMRT	PacBio RS	44877247	19950	WGS	GENOMIC	SINGLE	Thermacetogenium phaeum DSM 12270
SRR3735597	SRX1891208	SRS1534134	SRP010257	PRJNA80949	Thermacetogenium phaeum DSM 12270	DSM 12270	PACBIO_SMRT	PacBio RS	37108917	17221	WGS	GENOMIC	SINGLE	Thermacetogenium phaeum DSM 12270
SRR3735535	SRX1891055	SRS1534007	SRP077689	PRJNA237258	Lachnospiraceae bacterium AC2029	AC2029	PACBIO_SMRT	PacBio RS	296118103	76568	WGS	GENOMIC	SINGLE	Lachnospiraceae bacterium AC2029
SRR3735534	SRX1891054	SRS1534007	SRP077689	PRJNA237258	Lachnospiraceae bacterium AC2029	AC2029	PACBIO_SMRT	PacBio RS	420103442	118688	WGS	GENOMIC	SINGLE	Lachnospiraceae bacterium AC2029
SRR3735533	SRX1891053	SRS1534007	SRP077689	PRJNA237258	Lachnospiraceae bacterium AC2029	AC2029	PACBIO_SMRT	PacBio RS	137421658	59059	WGS	GENOMIC	SINGLE	Lachnospiraceae bacterium AC2029
SRR3735532	SRX1891052	SRS1534007	SRP077689	PRJNA237258	Lachnospiraceae bacterium AC2029	AC2029	PACBIO_SMRT	PacBio RS	84662599	39938	WGS	GENOMIC	SINGLE	Lachnospiraceae bacterium AC2029
SRR3735531	SRX1891051	SRS1534007	SRP077689	PRJNA237258	Lachnospiraceae bacterium AC2029	AC2029	PACBIO_SMRT	PacBio RS	118186220	51881	WGS	GENOMIC	SINGLE	Lachnospiraceae bacterium AC2029
SRR3735530	SRX1891050	SRS1534005	SRP077688	PRJNA205960	Acidobacteriaceae bacterium KBS 146	KBS 146	PACBIO_SMRT	PacBio RS	89005277	23051	WGS	GENOMIC	SINGLE	Acidobacteriaceae sp. KBS 146
SRR3735529	SRX1891049	SRS1534005	SRP077688	PRJNA205960	Acidobacteriaceae bacterium KBS 146	KBS 146	PACBIO_SMRT	PacBio RS	119128764	36813	WGS	GENOMIC	SINGLE	Acidobacteriaceae sp. KBS 146
SRR3735527	SRX1891048	SRS1534005	SRP077688	PRJNA205960	Acidobacteriaceae bacterium KBS 146	KBS 146	PACBIO_SMRT	PacBio RS	154425092	50633	WGS	GENOMIC	SINGLE	Acidobacteriaceae sp. KBS 146
SRR3735526	SRX1891047	SRS1534005	SRP077688	PRJNA205960	Acidobacteriaceae bacterium KBS 146	KBS 146	PACBIO_SMRT	PacBio RS	193321067	60300	WGS	GENOMIC	SINGLE	Acidobacteriaceae sp. KBS 146
SRR3735525	SRX1891046	SRS1534005	SRP077688	PRJNA205960	Acidobacteriaceae bacterium KBS 146	KBS 146	PACBIO_SMRT	PacBio RS	78932535	25029	WGS	GENOMIC	SINGLE	Acidobacteriaceae sp. KBS 146
SRR3735524	SRX1891044	SRS1534005	SRP077688	PRJNA205960	Acidobacteriaceae bacterium KBS 146	KBS 146	PACBIO_SMRT	PacBio RS	79677344	24627	WGS	GENOMIC	SINGLE	Acidobacteriaceae sp. KBS 146
SRR3735522	SRX1891042	SRS1534004	SRP077687	PRJNA239498	Lactiplantibacillus plantarum	AG30	PACBIO_SMRT	PacBio RS	250268601	109852	WGS	GENOMIC	SINGLE	Lactobacillus plantarum AG30
SRR3735521	SRX1891041	SRS1534004	SRP077687	PRJNA239498	Lactiplantibacillus plantarum	AG30	PACBIO_SMRT	PacBio RS	234353008	107408	WGS	GENOMIC	SINGLE	Lactobacillus plantarum AG30
SRR3735520	SRX1891040	SRS1534004	SRP077687	PRJNA239498	Lactiplantibacillus plantarum	AG30	PACBIO_SMRT	PacBio RS	255872624	116181	WGS	GENOMIC	SINGLE	Lactobacillus plantarum AG30
