srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR15989112	SRX12277755	SRS9999038	SRP357534	PRJNA801415	Klebsiella pneumoniae	1308	OXFORD_NANOPORE	GridION	306824859.0	47392.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989113	SRX12277754	SRS9999036	SRP357534	PRJNA801415	Klebsiella pneumoniae	231	OXFORD_NANOPORE	GridION	2566795991.0	296502.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989114	SRX12277753	SRS9999035	SRP357537	PRJNA801416	Klebsiella pneumoniae	281	OXFORD_NANOPORE	GridION	396882024.0	74760.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989115	SRX12277752	SRS9999037	SRP357537	PRJNA801416	Klebsiella pneumoniae	-	OXFORD_NANOPORE	GridION	873905955.0	135733.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989116	SRX12277751	SRS9999034	SRP357534	PRJNA801415	Klebsiella pneumoniae	11	OXFORD_NANOPORE	GridION	3561759606.0	331315.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989117	SRX12277750	SRS9999033	SRP357534	PRJNA801415	Klebsiella aerogenes	-	OXFORD_NANOPORE	GridION	1134672301.0	231786.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989118	SRX12277749	SRS9999032	SRP357534	PRJNA801415	Klebsiella pneumoniae	273	OXFORD_NANOPORE	GridION	1224709133.0	109405.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989119	SRX12277748	SRS9999031	SRP357537	PRJNA801416	Klebsiella pneumoniae	273	OXFORD_NANOPORE	GridION	264007248.0	41242.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989120	SRX12277747	SRS9999030	SRP357534	PRJNA801415	Escherichia coli	131	OXFORD_NANOPORE	GridION	134622705.0	133200.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989121	SRX12277746	SRS9999029	SRP357537	PRJNA801416	Escherichia coli	E1181	OXFORD_NANOPORE	GridION	2879046077.0	315082.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
